Task	Accuracy	Year	Source
MPQA	85.1	2010	Nakagawa et al (cited in Yoon)
MPQA	89.6	2014	Yoon
MPQA	90	2019	RoBERTa
MR	77.7	2011	Socher at al (RAE)
MR	81.5	2014	Yoon
MR	90	2019	RoBERTa
Subj	93.6	2012	Wang and Manning (cited in Yoon)
Subj	95	2019	RoBERTa
CR	81.4	2010	Nakagawa (cited in Yoon)
CR	85.0	2014	Yoon
CR	94	2019	RoBERTa
SST2	82.4	2011	Socher at al (RAE)
SST2	88.1	2014	Yoon
SST2	97.5	2019	Leaderboard
QQP	86.5	2019	GLUE paper
QQP	90.8	2020	leaderboard
MNLI	72.3	2018	MNLI paper
MNLI	88.1	2019	RoBERTa
MNLI	91.9	2020	DeBERTa
QNLI	79.8	2019	GLUE paper
QNLI	99.2	2020
CoLA	68.0	2019	GLUE paper
CoLA	74.8	2020
RTE	59.2	2019	GLUE paper (GenSen)
RTE	93.2	2020	DeBERTa
MRPC	65.4	2006	https://aclweb.org/aclwiki/Paraphrase_Identification_(State_of_the_art)
MRPC	80.4	2013	https://aclweb.org/aclwiki/Paraphrase_Identification_(State_of_the_art)
MRPC	86.6	2019	GLUE paper (Elmo)
MRPC	94.0	2020	Leaderboard
WSC	58.0	2016	IJCAI-16 https://cs.nyu.edu/faculty/davise/papers/WinogradSchemas/WS.html
WSC	64.4	2018	BERT (leaderboard)
WSC	89.0	2019	RoBERTa
WSC	95.9	2020	leaderboard
