Task	Type	MeanS1ensitivity	MedianS1ensitivity	SES1ensitivity
1	CoLA	GLUE	1.5128541653152	1.45156680318348	0.0202244976694792
2	CR	Text Cl.	1.93930266610652	1.74545246135745	0.0467739155163555
3	Gym248	Syntax	2.19177583147037	2.15816471768404	0.0893397955124168
4	Gym260	Syntax	1.80234462859059	1.74852160813422	0.0592694162631663
5	Heads	Parsing	2.85637102322409	2.56016988930307	0.160066769501965
6	Labels	Parsing	1.62719335849389	1.31990204677755	0.129979891575497
7	MNLI	GLUE	3.27539228961603	3.06474086744309	0.0618492284857322
8	MPQA	Text Cl.	1.05460713681062	0.928610140761358	0.0176480718497526
9	MR	Text Cl.	1.97845647612673	1.71880645426809	0.0382743577240867
10	MRPC	GLUE	5.06662406714953	5.18023083459242	0.249907846533396
11	QNLI	GLUE	3.45430893866431	3.45080130414321	0.355292009945894
12	QQP	GLUE	1.96836729969338	1.6777495611367	0.211400466191982
13	RTE	GLUE	3.62337873132862	3.37689557054374	0.20875798162119
14	SST2	GLUE	1.66076763640843	1.38464202939756	0.0666360412307661
15	Subj	Text Cl.	1.50537945721946	1.15505953612955	0.0498455758521797
16	Tagging	Parsing	1.00686236449809	0.594664798961508	0.123660499189285
17	WSC	GLUE	3.90876494435848	3.16878898671576	0.363428470863057
